0,1,2,3
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
defect,defect,defect,defect
